Date,EUR,GBP,JPY
1998-12-14,0.846806,0.593014,116.6
1998-12-15,0.849082,0.595344,115.92
1998-12-16,0.850526,0.596641,116.1
1998-12-17,0.848249,0.594495,115.145
1998-12-18,0.850146,0.594477,116.225
1998-12-19,0.848608,0.593824,115.675
1998-12-20,0.850724,0.594336,115.44
1998-12-21,0.854822,0.595114,116.93
1998-12-22,0.854306,0.595877,116.065
1998-12-23,0.857708,0.597318,116.13
1998-12-24,0.859177,0.597764,116.04
1998-12-25,0.859177,0.597764,116.3
1998-12-26,0.858544,0.597728,116.275
1998-12-27,0.859057,0.597443,116.16
1998-12-28,0.85554,0.595984,115.415
1998-12-29,0.853847,0.597496,115.17
1998-12-30,0.85678,0.602736,113.65
1998-12-31,0.85678,0.608588,113.265
1999-01-01,0.85678,0.61106,113.45
1999-01-02,0.853134,0.603191,113.315
1999-01-03,0.847062,0.602628,113.48
1999-01-04,0.847494,0.604011,111.29
1999-01-05,0.85168,0.603719,112.35
1999-01-06,0.857082,0.605474,111.14
1999-01-07,0.858406,0.608874,111.44
1999-01-08,0.863894,0.609515,110.85
1999-01-09,0.864304,0.609756,110.36
1999-01-10,0.864192,0.609496,109.46
1999-01-11,0.869414,0.613666,112.12
1999-01-12,0.855358,0.606502,112.365
1999-01-13,0.857817,0.605932,113.655
1999-01-14,0.857449,0.603409,112.88
1999-01-15,0.865202,0.605896,114.375
1999-01-16,0.864342,0.606281,114.25
1999-01-17,0.862404,0.60487,114.33
1999-01-18,0.861734,0.603902,113.92
1999-01-19,0.864006,0.605739,113.47
1999-01-20,0.863782,0.606888,112.88
1999-01-21,0.861586,0.605345,113.715
1999-01-22,0.863372,0.604522,114.57
1999-01-23,0.863372,0.604193,114.67
1999-01-24,0.862776,0.6031,114.33
1999-01-25,0.864118,0.602482,113.66
1999-01-26,0.868206,0.604814,114.455
1999-01-27,0.87604,0.607018,115.685
1999-01-28,0.878079,0.607386,116.205
1999-01-29,0.88005,0.60807,116.245
1999-01-30,0.8747,0.60709,115.8975
