t,id,FDI,schooling,population,gdpgrowth,patent,developed,initial,investment,trade,exports,gspending,inflation,fd
2002,1,2.1989582,9.2,17.444687,-11.854776,718.0,0,8.958815,11.960649,41.752724,28.382597,12.235248,30.555204,30.000002
2003,1,1.2948109,9.3,17.455406,7.6765456,792.0,0,8.83263,15.137507,40.64475,25.930943,11.438057,10.495703,29.0
2004,1,2.5050175,9.2,17.46596,7.884938,786.0,0,8.906592,15.893787,40.692646,23.84762,11.114636,18.363354,32.0
2005,1,2.6493545,9.1,17.476322,7.729475,1054.0,0,8.982488,17.351147,40.55127,23.245876,12.141861,10.317512,35.0
2006,1,2.3810685,9.0,17.486477,6.9555473,1020.0,0,9.05694,18.331186,40.43348,23.026695,12.429416,13.741053,37.0
2007,1,2.2512941,8.9,17.496466,7.924238,937.0,0,9.124184,19.516079,40.94517,22.66275,12.989324,14.939925,38.0
2008,1,2.6899009,8.9,17.506392,3.0294774,801.0,0,9.200442,19.01016,40.40267,22.0609,13.633513,23.171165,36.0
2009,1,1.2064393,9.3,17.516388,-6.8542275,640.0,0,9.230288,15.581753,34.057125,19.560986,15.903896,15.377649,35.0
2010,1,2.6751616,9.8,17.52391,9.300128,552.0,0,9.159284,16.641466,34.971012,18.933823,15.163718,20.915125,30.000002
2011,1,2.04464,9.8,17.53544,4.788683,688.0,0,9.248211,17.248285,35.206154,18.44921,15.688956,23.703472,31.0
2012,1,2.8066719,9.8,17.54681,-2.1452844,735.0,0,9.294986,15.857526,30.526543,16.23786,16.645437,22.31488,31.0
2013,1,1.7792056,9.8,17.558,1.2656852,643.0,0,9.2733,16.28951,29.33393,14.617173,16.806238,23.9488,32.0
2014,1,0.96240664,9.8,17.568995,-3.5785806,509.0,0,9.285877,15.979954,28.406794,14.4054785,16.949875,40.28297,32.0
2015,1,1.9771346,9.8,17.579775,1.6296643,546.0,0,9.249435,15.564745,22.486227,10.705652,18.09838,26.579992,32.0
2016,1,0.58474994,9.9,17.590347,-3.1100638,884.0,0,9.265601,14.272363,26.093887,12.527095,17.654577,41.11938,34.0
2017,1,1.7919613,9.9,17.600718,1.6092824,393.0,0,9.234006,15.045281,25.223331,11.242722,17.666094,26.007483,34.0
2002,2,3.713762,11.8,16.79366,2.7396894,2364.0,1,10.705157,24.36583,41.557278,20.774593,17.544247,2.8603942,88.0
2003,2,1.9261471,11.8,16.806,1.7229064,2418.0,1,10.732185,26.120155,40.296146,19.095085,17.595385,3.1135745,88.0
2004,2,7.005444,11.8,16.817593,2.8561478,2559.0,1,10.749268,26.724922,37.120735,17.203285,17.495375,3.311041,88.0
2005,2,-3.6188147,11.7,16.830791,1.8510313,2555.0,1,10.777429,27.100918,39.271183,18.265102,17.561588,3.797194,89.0
2006,2,4.095024,11.9,16.845543,1.2892597,2837.0,1,10.79577,27.877121,41.60423,19.89392,17.479803,5.0923066,91.0
2007,2,5.2092495,12.0,16.85179,3.1976385,2718.0,1,10.80858,27.4595,42.05144,20.20361,17.343937,5.0116315,95.0
2008,2,4.2846503,12.3,16.87183,1.6012622,2821.0,1,10.840056,28.267164,42.87033,20.161673,17.242653,4.525578,88.0
2009,2,3.0915182,12.3,16.89244,-0.14254124,2494.0,1,10.855942,27.630234,45.797905,23.004812,17.591547,5.001878,90.0
2010,2,3.0721188,12.4,16.907995,0.49210095,2409.0,1,10.854515,27.094913,40.649673,19.810007,17.999002,1.1672335,92.0
2011,2,4.6937237,12.5,16.92189,1.0488838,2383.0,1,10.859425,26.055927,41.906734,21.436417,17.81075,6.2527294,94.0
2012,2,3.7221718,12.6,16.939348,2.1196826,2627.0,1,10.869859,27.429644,43.210346,21.48083,17.986233,1.8565279,89.0
2013,2,3.4258237,12.6,16.95656,0.83434194,3061.0,1,10.890834,27.858755,41.20843,19.956167,17.84038,-0.12417731,88.0
2014,2,4.306384,12.7,16.971476,1.015115,1988.0,1,10.899142,26.884325,42.50649,21.039455,17.697384,1.4795723,88.0
2015,2,3.4691882,12.8,16.985868,0.73239976,2291.0,1,10.909243,26.204466,41.494373,19.984846,18.060741,-0.5496522,89.0
2016,2,3.5555127,12.9,17.001488,1.1779114,2620.0,1,10.91654,25.303453,40.77764,19.251057,18.656855,-0.5330047,89.0
2017,2,3.574156,12.9,17.018333,0.65765387,2503.0,1,10.92825,23.955519,41.77,21.193201,18.600588,3.7407296,87.0
2002,3,7.0458503,10.3,16.150833,1.2519891,601.0,1,10.593793,20.696424,136.08514,70.8313,22.138882,1.6400032,51.0
2003,3,10.888865,10.4,16.15502,0.6158504,519.0,1,10.6062355,20.494188,132.71555,69.03651,22.484373,1.8501184,51.0
2004,3,12.074274,10.5,16.159348,3.1239176,514.0,1,10.612375,21.461851,136.91841,70.90628,22.197212,1.9150022,55.0
2005,3,8.7304325,10.7,16.164846,1.760456,517.0,1,10.643136,22.153894,144.52905,74.28283,22.093998,2.0830739,57.0
2006,3,14.419943,11.1,16.171442,1.878187,490.0,1,10.660587,22.32544,149.5675,76.805,21.93879,2.2647033,60.000004
2007,3,20.528738,11.1,16.178785,2.9183753,454.0,1,10.679195,23.293015,152.46844,78.3018,21.615894,1.9316846,65.0
2008,3,36.95325,11.0,16.186686,-0.34346482,575.0,1,10.707961,24.118141,161.08846,80.88062,22.666145,1.9088578,66.0
2009,3,16.070461,11.1,16.194733,-2.8059037,669.0,1,10.70452,22.784502,135.40604,68.83401,24.191914,0.5331617,58.999996
2010,3,26.092415,11.1,16.203869,1.9287568,620.0,1,10.676061,22.123087,149.99768,75.85007,23.732687,1.8920852,57.0
2011,3,31.306952,11.2,16.216879,0.38001832,636.0,1,10.695165,23.010374,161.49373,80.697365,24.049427,1.807316,57.0
2012,3,2.3802335,11.2,16.22308,0.11641512,755.0,1,10.698957,22.961887,160.74603,80.40449,24.303352,1.9611065,56.0
2013,3,-5.682227,11.4,16.227793,-0.013162462,715.0,1,10.700121,22.173004,157.85085,79.32435,24.312767,1.2712724,58.0
2014,3,-2.8439302,11.5,16.232233,1.1285858,889.0,1,10.699989,22.805843,158.78322,79.80101,24.233896,0.9826554,56.0
2015,3,-4.2224946,11.7,16.238028,1.4432734,949.0,1,10.711212,22.96342,154.19255,77.80528,23.615088,1.3389965,60.000004
2016,3,12.086446,11.8,16.24309,0.99845415,1054.0,1,10.725541,23.213354,157.55995,79.376686,23.24133,1.7432462,57.0
2017,3,-7.185446,11.8,16.246943,1.5721537,1001.0,1,10.7354765,23.113892,163.22919,82.31145,23.069355,1.7181005,58.0
2002,4,3.2653198,6.0,19.005896,1.7094744,3481.0,0,9.082999,17.92625,27.618357,14.23059,19.809662,9.798112,41.0
2003,4,1.8131206,6.2,19.018469,-0.122936495,3866.0,0,9.099949,16.60476,28.140385,15.180783,19.077478,14.091022,43.0
