month,smb,hml,umd,rf,rm,rmrf
1980m10,3.64e-05,-0.07261682,0.04129683,0.0112461011,0.060244985,0.04899888
1980m11,0.00616493,-0.01852717,0.00696386,0.0102016858,0.008132894,-0.00206879
1980m12,0.00235637,-0.00167116,0.01586914,0.0102521974,-0.0440981129,-0.05435031
1981m1,0.02026328,0.00562219,0.01424536,0.0099491671,-0.005982036,-0.0159312
1981m2,-0.00805504,0.02221654,0.00608652,0.0091751695,0.0577034485,0.04852828
1981m3,0.04768562,-0.01117393,0.02115283,0.0091331213,0.0232665396,0.01413342
1981m4,-0.00988139,0.07669707,-0.0683694,0.0089229074,0.077022185,0.06809928
1981m5,0.04444705,-0.01160645,0.02243358,0.0090742572,-0.0452445088,-0.05431877
1981m6,-0.01701435,-0.02613062,0.07177751,0.0093938478,0.0206095029,0.01121566
1981m7,0.01027925,-0.01840889,0.01390542,0.0108332592,0.0011006052,-0.00973265
1981m8,-0.0240125,0.00406842,0.02667275,0.0103784864,0.0523228923,0.04194441
1981m9,0.01153225,0.03058684,-0.03228693,0.0118024388,-0.1632249537,-0.17502739
1981m10,0.00414804,-0.01088349,-0.01344999,0.0121988062,0.0335505391,0.02135173
1981m11,-0.03219194,0.02089796,0.00330574,0.010799566,0.1060554087,0.09525584
1981m12,0.0297391,0.02043069,0.00939755,0.0115579491,-0.0014988756,-0.01305682
1982m1,0.00677975,0.04199374,0.02514037,0.0106142691,0.0618365451,0.05122228
1982m2,0.03408546,0.00133328,0.03677162,0.0104458477,-0.037672069,-0.04811792
1982m3,-0.01374716,-0.01432566,-0.00489508,0.0098734237,0.035619709,0.02574629
1982m4,-0.01341474,-0.01317134,-1.302e-06,0.0102185229,0.0094443186,-0.0007742
1982m5,-0.00723299,-0.00561746,0.04036714,0.0099912492,0.0334471913,0.02345594
1982m6,-0.00292305,-0.01083117,0.04354397,0.0096882972,-0.0386339143,-0.04832221
1982m7,0.0047621,-0.04745413,0.03191795,0.0087967996,0.0394585987,0.0306618
1982m8,-0.02902472,-0.00884551,0.01038469,0.0079144886,0.0331372022,0.02522271
1982m9,-0.01685531,-0.06743607,0.10438186,0.0079480862,0.0587616831,0.0508136
1982m10,-0.00725783,0.03184216,0.00250076,0.0070749099,0.026340949,0.01926604
1982m11,0.03311322,-0.07309601,0.07047138,0.007973285,0.0200993247,0.01212604
1982m12,-0.01289833,-0.00499058,-0.00282141,0.0077633127,0.022550503,0.01478719
1983m1,0.02608607,0.05475615,-0.03006718,0.0086875192,0.0379005803,0.02921306
1983m2,0.02995182,-0.01073409,-0.00695311,0.0086202758,0.0152145814,0.00659431
1983m3,0.00411843,0.05621259,-0.02268868,0.0081412949,0.0357232779,0.02758198
1983m4,-0.02948415,0.04729225,-0.05266851,0.0077297212,0.0705794026,0.06284968
1983m5,-0.00870192,-0.00617171,-0.02217466,0.0077381191,0.00020002,-0.0075381
1983m6,-0.00810348,0.02022712,0.00063896,0.0074358429,0.0511659735,0.04373013
1983m7,0.02393333,-0.00403947,0.04303878,0.0075114035,-0.0230306505,-0.03054205
1983m8,-0.01944574,0.03414794,0.03356662,0.0074694246,0.013794275,0.00632485
1983m9,-0.0046675,0.01124318,0.00149215,0.0071840155,-0.0067769324,-0.01396095
1983m10,-0.01881216,0.037307,-0.02650421,0.0070749099,-0.0142968156,-0.02137173
1983m11,-0.0022108,0.00265613,0.022254,0.0071000869,0.060138968,0.05303888
1983m12,-0.00455747,0.02420114,0.01104298,0.0070833024,0.022652763,0.01556946
1984m1,0.00842558,0.04336253,0.0264665,0.0071000869,0.0694024167,0.06230233
1984m2,0.02168877,0.01279275,0.00304591,0.0070916943,-0.0128171521,-0.01990885
1984m3,-0.0299352,-0.00121378,0.01603896,0.0067308845,0.0669456157,0.06021473
1984m4,-0.02987512,0.00389963,0.01989614,0.0067141062,0.0239830776,0.01726897
1984m5,0.01453304,0.01581536,-0.02430453,0.0071924089,-0.1040762748,-0.11126868
1984m6,-0.00314333,0.03377913,-0.0081101,0.0071000869,0.0262383202,0.01913823
1984m7,-0.00115919,0.02498301,-0.01254443,0.0090069879,-0.0223465337,-0.03135352
1984m8,0.00420359,-0.00911285,-0.01628864,0.007922888,0.1004288893,0.092506
1984m9,-0.00935101,-0.01865668,-0.00195623,0.007956486,0.0335505391,0.02559405
1984m10,-0.00535138,0.0152022,0.02094513,0.007880892,0.0181629756,0.01028208
1984m11,0.00890498,-0.0170814,0.04880069,0.0072511633,0.0347915459,0.02754038
1984m12,0.00088026,-0.00105396,0.03929704,0.0073015273,0.0622613679,0.05495984
