exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,id,t,tdum1,tdum2,tdum3,tdum4,tdum5,tdum6,tdum7,exp2
3.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,5.56068,1.0,1.0,1,0,0,0,0,0,0,9.0
4.0,43.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,5.72031,1.0,2.0,0,1,0,0,0,0,0,16.0
5.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,5.99645,1.0,3.0,0,0,1,0,0,0,0,25.0
6.0,39.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,5.99645,1.0,4.0,0,0,0,1,0,0,0,36.0
7.0,42.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,6.06146,1.0,5.0,0,0,0,0,1,0,0,49.0
8.0,35.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,6.17379,1.0,6.0,0,0,0,0,0,1,0,64.0
9.0,32.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,6.24417,1.0,7.0,0,0,0,0,0,0,1,81.0
30.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,6.16331,2.0,1.0,1,0,0,0,0,0,0,900.0
31.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,6.21461,2.0,2.0,0,1,0,0,0,0,0,961.0
32.0,33.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,6.2634,2.0,3.0,0,0,1,0,0,0,0,1024.0
33.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,6.54391,2.0,4.0,0,0,0,1,0,0,0,1089.0
34.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,6.69703,2.0,5.0,0,0,0,0,1,0,0,1156.0
35.0,37.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,6.79122,2.0,6.0,0,0,0,0,0,1,0,1225.0
36.0,30.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,6.81564,2.0,7.0,0,0,0,0,0,0,1,1296.0
6.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,5.65249,3.0,1.0,1,0,0,0,0,0,0,36.0
7.0,51.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.43615,3.0,2.0,0,1,0,0,0,0,0,49.0
8.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.54822,3.0,3.0,0,0,1,0,0,0,0,64.0
9.0,52.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.60259,3.0,4.0,0,0,0,1,0,0,0,81.0
10.0,52.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0,6.6958,3.0,5.0,0,0,0,0,1,0,0,100.0
11.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,6.77878,3.0,6.0,0,0,0,0,0,1,0,121.0
12.0,46.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,6.86066,3.0,7.0,0,0,0,0,0,0,1,144.0
31.0,52.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,6.15698,4.0,1.0,1,0,0,0,0,0,0,961.0
32.0,46.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,6.23832,4.0,2.0,0,1,0,0,0,0,0,1024.0
33.0,46.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,6.30079,4.0,3.0,0,0,1,0,0,0,0,1089.0
34.0,49.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,6.35957,4.0,4.0,0,0,0,1,0,0,0,1156.0
35.0,44.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,6.46925,4.0,5.0,0,0,0,0,1,0,0,1225.0
36.0,52.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,6.56244,4.0,6.0,0,0,0,0,0,1,0,1296.0
37.0,46.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,6.62141,4.0,7.0,0,0,0,0,0,0,1,1369.0
10.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,6.43775,5.0,1.0,1,0,0,0,0,0,0,100.0
11.0,46.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,6.62007,5.0,2.0,0,1,0,0,0,0,0,121.0
12.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,0.0,6.63332,5.0,3.0,0,0,1,0,0,0,0,144.0
13.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,6.98286,5.0,4.0,0,0,0,1,0,0,0,169.0
